"lan","lat","long","prof","peso.gr","numero","camp"
30,43.3882,-8.6458,99.5,230,1,"N01"
104,43.5127,-3.7483,45.5,1460,9,"N01"
104,43.5127,-3.7412,45,265,2,"N02"
106,43.5124,-3.7405,44,710,4,"N03"
76,43.5948,-6.1052,57,90,1,"N04"
118,43.5131,-3.7458,46.5,1845,10,"N04"
61,43.4059,-8.5602,97,600,2,"N05"
108,43.5138,-3.7534,43.5,2975,17,"N05"
28,43.363,-8.7645,88,335,1,"N06"
110,43.5135,-3.7511,40,960,6,"N06"
61,43.4047,-8.5616,98.5,1500,7,"N07"
120,43.5134,-3.7513,43.5,1023.78490175801,5,"N07"
16,42.7259,-9.0713,50.5,517.063081695967,2,"N08"
69,43.5569,-8.3964,96,930,6,"N08"
98,43.5956,-6.1048,57,550,3,"N08"
141,43.5134,-3.7484,46.5,1740,12,"N08"
25,42.7259,-9.0707,50,265,1,"N09"
29,43.2445,-9.1261,94.5,705,4,"N09"
58,43.5571,-8.3979,97,1310,10,"N09"
73,43.3625,-8.7638,89.5,245,1,"N09"
127,43.5126,-3.7451,46,2205,9,"N09"
129,43.7707,-1.4952,47,330,1,"N09"
130,43.7001,-1.6835,115.5,310,1,"N09"
29,43.2441,-9.1266,92.5,275,2,"N10"
52,43.5569,-8.3964,94,740,6,"N10"
86,43.5942,-6.1056,57,206,2,"N10"
112,43.5124,-3.7415,44.5,2070,13,"N10"
29,43.2494,-9.118,97,165,1,"N11"
121,43.5123,-3.7424,44.5,1695,8,"N11"
34,43.3924,-8.6472,103,465,2,"N12"
35,43.4457,-8.4915,94,360,2,"N12"
115,43.5116,-3.7336,46,1115,8,"N12"
27,43.2495,-9.1141,98,325,2,"N13"
74,43.5967,-6.1034,58,1135,5,"N13"
109,43.5146,-3.7546,45.5,2050,12,"N13"
70,43.5994,-6.1019,60.5,125,1,"N14"
116,43.5135,-3.7467,46,2040,13,"N14"
120,43.8009,-1.4442,24,175,2,"N14"
30,43.2469,-9.121,94.5,1295,10,"N15"
54,43.3946,-8.6462,105.5,270,1,"N15"
84,43.6012,-6.1014,62.5,340,2,"N15"
114,43.5147,-3.7566,47,1305,10,"N15"
49,43.839,-7.9122,127,165,1,"N16"
84,43.5985,-6.1021,60,1440,6,"N16"
117,43.515,-3.7523,47.5,215,1,"N16"
87,43.6011,-6.0997,64.5,624,3,"N17"
127,43.5141,-3.7432,46,1716,8,"N17"
28,43.4495,-8.5062,103.5,116,1,"N18"
50,43.2476,-9.1205,94.5,228,2,"N18"
74,43.597,-6.1037,58,2900,14,"N18"
110,43.5132,-3.7493,46.5,944,6,"N18"
